Order ID,Order Date,Ship Mode,Segment,Region,Category,Sub-Category,Product Name,Sales,Cost,Profit,Month / Year
CA-2023-199785,2024-01-21,First Class,Corporate,West,Furniture,Chairs,Chairs Product 97,124.01,106.63,17.38000000000001,Jan 2024
CA-2023-176534,2023-07-11,First Class,Home Office,Central,Furniture,Furnishings,Furnishings Product 72,802.25,679.84,122.40999999999997,Jul 2023
CA-2023-185595,2023-10-04,First Class,Corporate,Central,Furniture,Bookcases,Bookcases Product 88,564.45,477.08,87.37000000000006,Oct 2023
CA-2023-186925,2023-06-10,First Class,Home Office,South,Office Supplies,Fasteners,Fasteners Product 7,107.31,83.87,23.439999999999998,Jun 2023
CA-2023-136220,2024-04-04,First Class,Consumer,West,Office Supplies,Paper,Paper Product 2,29.83,24.75,5.079999999999998,Apr 2024
CA-2023-199713,2023-11-10,First Class,Home Office,East,Technology,Phones,Phones Product 20,1195.7,867.82,327.88,Nov 2023
CA-2023-162516,2023-01-22,Same Day,Home Office,South,Office Supplies,Fasteners,Fasteners Product 86,99.91,78.51,21.39999999999999,Jan 2023
CA-2023-190093,2023-09-10,First Class,Consumer,West,Office Supplies,Paper,Paper Product 81,113.54,87.5,26.040000000000006,Sep 2023
CA-2023-155029,2024-07-14,Second Class,Home Office,West,Office Supplies,Binders,Binders Product 26,81.58,65.18,16.39999999999999,Jul 2024
CA-2023-156133,2024-04-19,Second Class,Consumer,Central,Office Supplies,Labels,Labels Product 41,94.45,70.67,23.78,Apr 2024
CA-2023-178411,2023-02-28,First Class,Consumer,East,Office Supplies,Paper,Paper Product 85,56.53,43.5,13.030000000000001,Feb 2023
CA-2023-146828,2024-05-25,Standard Class,Consumer,East,Office Supplies,Fasteners,Fasteners Product 45,93.21,74.56,18.64999999999999,May 2024
CA-2023-186145,2024-11-12,Same Day,Corporate,Central,Technology,Phones,Phones Product 51,1389.57,954.59,434.9799999999999,Nov 2024
CA-2023-189599,2024-04-20,Same Day,Consumer,Central,Furniture,Bookcases,Bookcases Product 99,259.38,234.01,25.370000000000005,Apr 2024
CA-2023-189399,2024-11-30,Standard Class,Corporate,East,Technology,Machines,Machines Product 20,2440.68,1543.71,896.9699999999998,Nov 2024
CA-2023-145420,2023-07-09,First Class,Corporate,West,Furniture,Furnishings,Furnishings Product 66,99.59,88.57,11.02000000000001,Jul 2023
CA-2023-100060,2024-11-17,First Class,Corporate,West,Furniture,Chairs,Chairs Product 35,523.14,470.48,52.65999999999997,Nov 2024
CA-2023-120581,2024-07-16,Second Class,Home Office,West,Technology,Phones,Phones Product 59,164.24,103.28,60.96000000000001,Jul 2024
CA-2023-157134,2024-07-20,Same Day,Corporate,South,Technology,Phones,Phones Product 83,1817.67,1206.02,611.6500000000001,Jul 2024
CA-2023-158053,2023-09-01,Same Day,Consumer,South,Office Supplies,Labels,Labels Product 12,103.7,77.11,26.590000000000003,Sep 2023
CA-2023-127935,2024-05-19,Second Class,Home Office,South,Office Supplies,Binders,Binders Product 26,13.21,9.9,3.3100000000000005,May 2024
CA-2023-124070,2023-05-11,Standard Class,Home Office,South,Office Supplies,Binders,Binders Product 59,42.5,34.72,7.780000000000001,May 2023
CA-2023-119426,2024-04-29,Second Class,Home Office,Central,Technology,Accessories,Accessories Product 17,1504.84,1143.09,361.75,Apr 2024
CA-2023-182050,2024-10-08,Standard Class,Home Office,West,Office Supplies,Art,Art Product 55,75.52,58.26,17.259999999999998,Oct 2024
CA-2023-107564,2023-01-21,Second Class,Consumer,South,Office Supplies,Paper,Paper Product 42,74.81,56.15,18.660000000000004,Jan 2023
CA-2023-129430,2023-06-16,Standard Class,Consumer,West,Technology,Accessories,Accessories Product 96,209.43,134.16,75.27000000000001,Jun 2023
CA-2023-161916,2023-10-01,Second Class,Consumer,West,Office Supplies,Fasteners,Fasteners Product 16,51.86,38.32,13.54,Oct 2023
CA-2023-124574,2024-01-23,First Class,Consumer,Central,Technology,Machines,Machines Product 49,872.97,657.6,215.37,Jan 2024
CA-2023-132913,2024-08-23,Second Class,Consumer,East,Furniture,Tables,Tables Product 65,321.28,272.75,48.52999999999997,Aug 2024
CA-2023-189431,2023-11-12,Same Day,Home Office,South,Technology,Machines,Machines Product 61,1483.69,1048.32,435.3700000000001,Nov 2023
CA-2023-129757,2023-01-14,Standard Class,Corporate,East,Office Supplies,Envelopes,Envelopes Product 52,61.46,44.67,16.79,Jan 2023
CA-2023-141844,2023-08-30,First Class,Consumer,East,Furniture,Furnishings,Furnishings Product 98,868.67,757.05,111.62,Aug 2023
CA-2023-181412,2023-12-12,Standard Class,Corporate,South,Office Supplies,Paper,Paper Product 49,46.19,34.07,12.119999999999997,Dec 2023
CA-2023-107657,2024-07-18,First Class,Corporate,West,Office Supplies,Envelopes,Envelopes Product 17,122.88,99.52,23.36,Jul 2024
CA-2023-133660,2023-12-06,First Class,Consumer,West,Furniture,Furnishings,Furnishings Product 14,681.84,596.3,85.54000000000008,Dec 2023
CA-2023-197820,2023-04-02,Standard Class,Home Office,South,Technology,Machines,Machines Product 76,1832.83,1328.45,504.3799999999999,Apr 2023
CA-2023-150106,2024-01-02,Second Class,Home Office,East,Furniture,Bookcases,Bookcases Product 5,613.24,541.43,71.81000000000006,Jan 2024
CA-2023-103020,2024-03-30,Same Day,Consumer,South,Furniture,Tables,Tables Product 40,119.98,110.78,9.200000000000003,Mar 2024
CA-2023-101591,2024-03-03,Same Day,Corporate,West,Technology,Accessories,Accessories Product 77,1438.11,929.37,508.7399999999999,Mar 2024
CA-2023-167675,2024-05-23,Standard Class,Home Office,South,Office Supplies,Fasteners,Fasteners Product 41,74.89,54.52,20.369999999999997,May 2024
CA-2023-186206,2023-02-04,First Class,Corporate,East,Office Supplies,Labels,Labels Product 5,95.21,71.26,23.94999999999999,Feb 2023
CA-2023-178249,2023-07-25,Second Class,Home Office,East,Technology,Accessories,Accessories Product 39,1175.38,751.66,423.72000000000014,Jul 2023
CA-2023-191659,2023-03-22,First Class,Corporate,East,Furniture,Furnishings,Furnishings Product 46,543.51,467.14,76.37,Mar 2023
CA-2023-112987,2024-07-15,Same Day,Consumer,Central,Office Supplies,Paper,Paper Product 70,81.41,65.02,16.39,Jul 2024
CA-2023-101435,2024-01-23,Same Day,Home Office,South,Office Supplies,Binders,Binders Product 93,63.02,46.06,16.96,Jan 2024
CA-2023-150192,2023-01-02,Same Day,Corporate,Central,Office Supplies,Envelopes,Envelopes Product 65,85.37,70.35,15.02000000000001,Jan 2023
CA-2023-137567,2024-01-25,First Class,Consumer,West,Furniture,Furnishings,Furnishings Product 99,99.54,84.31,15.230000000000004,Jan 2024
CA-2023-107813,2024-07-19,First Class,Home Office,Central,Office Supplies,Envelopes,Envelopes Product 75,8.84,7.34,1.5,Jul 2024
CA-2023-114288,2023-04-16,First Class,Consumer,South,Office Supplies,Binders,Binders Product 15,26.0,20.1,5.899999999999999,Apr 2023
CA-2023-178797,2024-04-21,Same Day,Corporate,East,Office Supplies,Labels,Labels Product 67,45.62,33.35,12.269999999999996,Apr 2024
CA-2023-139214,2024-12-03,Same Day,Consumer,West,Technology,Copiers,Copiers Product 6,327.78,215.73,112.04999999999998,Dec 2024
CA-2023-119982,2024-02-06,Second Class,Consumer,East,Office Supplies,Labels,Labels Product 25,126.24,98.48,27.75999999999999,Feb 2024
CA-2023-199911,2024-12-30,Same Day,Corporate,East,Office Supplies,Binders,Binders Product 93,169.17,130.67,38.5,Dec 2024
CA-2023-161788,2024-07-09,Same Day,Consumer,South,Office Supplies,Art,Art Product 3,115.28,85.25,30.03,Jul 2024
CA-2023-111536,2023-06-11,Second Class,Consumer,East,Furniture,Bookcases,Bookcases Product 60,438.93,411.14,27.79000000000002,Jun 2023
CA-2023-182503,2023-07-21,First Class,Consumer,East,Furniture,Tables,Tables Product 21,335.24,294.44,40.80000000000001,Jul 2023
CA-2023-126143,2023-09-27,First Class,Consumer,Central,Furniture,Furnishings,Furnishings Product 41,414.67,346.66,68.00999999999999,Sep 2023
CA-2023-139499,2023-09-28,Standard Class,Corporate,East,Furniture,Tables,Tables Product 80,655.86,611.87,43.99000000000001,Sep 2023
CA-2023-122431,2024-03-31,Second Class,Consumer,West,Office Supplies,Envelopes,Envelopes Product 33,94.11,71.73,22.379999999999995,Mar 2024
CA-2023-150069,2024-04-06,First Class,Corporate,South,Technology,Accessories,Accessories Product 90,193.88,146.48,47.400000000000006,Apr 2024
CA-2023-125003,2024-12-27,Standard Class,Home Office,East,Office Supplies,Binders,Binders Product 6,150.49,124.56,25.930000000000007,Dec 2024
CA-2023-164881,2023-09-09,Same Day,Corporate,West,Office Supplies,Paper,Paper Product 84,13.0,9.94,3.0600000000000005,Sep 2023
CA-2023-198511,2024-12-02,Same Day,Corporate,Central,Office Supplies,Art,Art Product 26,101.95,76.53,25.42,Dec 2024
CA-2023-115313,2023-10-23,Second Class,Home Office,Central,Office Supplies,Paper,Paper Product 25,26.5,20.58,5.920000000000002,Oct 2023
CA-2023-170316,2024-12-25,Same Day,Consumer,Central,Technology,Accessories,Accessories Product 55,1211.84,840.94,370.89999999999986,Dec 2024
CA-2023-100661,2024-12-20,Standard Class,Consumer,West,Furniture,Furnishings,Furnishings Product 28,810.27,699.78,110.49000000000001,Dec 2024
CA-2023-198656,2023-12-04,First Class,Consumer,South,Furniture,Bookcases,Bookcases Product 31,359.57,323.13,36.44,Dec 2023
CA-2023-139443,2023-02-22,Same Day,Corporate,South,Office Supplies,Envelopes,Envelopes Product 96,87.2,64.73,22.47,Feb 2023
CA-2023-143585,2023-08-05,First Class,Corporate,Central,Office Supplies,Binders,Binders Product 39,95.87,73.9,21.97,Aug 2023
CA-2023-148364,2023-07-07,Second Class,Consumer,Central,Office Supplies,Art,Art Product 99,40.66,31.97,8.689999999999998,Jul 2023
CA-2023-166061,2024-01-15,Second Class,Corporate,East,Office Supplies,Envelopes,Envelopes Product 69,112.91,91.36,21.549999999999997,Jan 2024
CA-2023-199950,2024-05-07,Second Class,Home Office,West,Furniture,Chairs,Chairs Product 2,277.94,235.42,42.52000000000001,May 2024
CA-2023-167649,2023-02-10,First Class,Consumer,East,Furniture,Chairs,Chairs Product 65,410.4,343.31,67.08999999999997,Feb 2023
CA-2023-152233,2023-06-06,First Class,Corporate,East,Office Supplies,Envelopes,Envelopes Product 74,125.38,97.13,28.25,Jun 2023
CA-2023-179530,2023-01-15,Same Day,Consumer,East,Office Supplies,Envelopes,Envelopes Product 84,107.71,83.74,23.97,Jan 2023
CA-2023-192324,2023-03-06,Standard Class,Consumer,Central,Office Supplies,Art,Art Product 56,99.9,74.96,24.940000000000012,Mar 2023
CA-2023-120337,2024-06-04,Second Class,Corporate,East,Office Supplies,Fasteners,Fasteners Product 37,30.02,24.55,5.469999999999999,Jun 2024
CA-2023-176260,2023-12-10,Standard Class,Home Office,West,Technology,Phones,Phones Product 51,2042.92,1494.01,548.9100000000001,Dec 2023
CA-2023-165661,2023-05-09,Second Class,Consumer,West,Furniture,Tables,Tables Product 57,390.49,348.03,42.460000000000036,May 2023
CA-2023-112115,2024-10-09,First Class,Corporate,West,Office Supplies,Art,Art Product 80,68.59,51.44,17.150000000000006,Oct 2024
CA-2023-123196,2024-04-16,Same Day,Corporate,South,Technology,Copiers,Copiers Product 86,1659.08,1042.81,616.27,Apr 2024
CA-2023-188009,2023-03-04,Second Class,Corporate,East,Office Supplies,Paper,Paper Product 26,117.53,84.62,32.91,Mar 2023
CA-2023-137208,2023-05-19,Second Class,Consumer,West,Technology,Copiers,Copiers Product 31,1568.61,1175.93,392.67999999999984,May 2023
CA-2023-108125,2024-05-13,Same Day,Corporate,South,Office Supplies,Labels,Labels Product 70,89.93,68.36,21.570000000000007,May 2024
CA-2023-127208,2024-08-15,Standard Class,Consumer,East,Office Supplies,Paper,Paper Product 75,59.99,43.66,16.330000000000005,Aug 2024
CA-2023-104114,2024-01-27,Second Class,Corporate,Central,Technology,Phones,Phones Product 23,1847.91,1171.27,676.6400000000001,Jan 2024
CA-2023-191736,2024-11-05,Standard Class,Home Office,West,Office Supplies,Art,Art Product 71,76.86,61.03,15.829999999999998,Nov 2024
CA-2023-108927,2024-02-23,Standard Class,Home Office,East,Office Supplies,Art,Art Product 90,54.06,41.91,12.150000000000006,Feb 2024
CA-2023-177576,2023-10-16,First Class,Consumer,South,Office Supplies,Fasteners,Fasteners Product 48,89.28,66.04,23.239999999999995,Oct 2023
CA-2023-132779,2024-01-14,Standard Class,Corporate,West,Technology,Copiers,Copiers Product 79,190.58,135.9,54.68000000000001,Jan 2024
CA-2023-159889,2024-05-04,Same Day,Home Office,West,Office Supplies,Art,Art Product 21,105.82,77.66,28.159999999999997,May 2024
CA-2023-139310,2023-08-19,Standard Class,Home Office,West,Furniture,Bookcases,Bookcases Product 68,766.39,722.54,43.85000000000002,Aug 2023
CA-2023-150115,2023-02-10,Same Day,Consumer,East,Technology,Accessories,Accessories Product 27,502.68,372.38,130.3,Feb 2023
CA-2023-154691,2023-01-28,Second Class,Corporate,West,Technology,Copiers,Copiers Product 77,1191.11,854.83,336.27999999999986,Jan 2023
CA-2023-144139,2023-05-15,Second Class,Home Office,West,Office Supplies,Paper,Paper Product 71,66.91,54.64,12.269999999999996,May 2023
CA-2023-124611,2023-07-20,Same Day,Corporate,Central,Office Supplies,Paper,Paper Product 1,73.7,58.89,14.810000000000002,Jul 2023
CA-2023-180758,2023-02-02,Second Class,Corporate,West,Office Supplies,Labels,Labels Product 92,90.58,65.15,25.429999999999993,Feb 2023
CA-2023-175388,2023-02-17,Second Class,Consumer,East,Office Supplies,Paper,Paper Product 37,82.04,66.43,15.61,Feb 2023
CA-2023-188920,2024-05-17,Second Class,Home Office,West,Office Supplies,Art,Art Product 97,114.56,85.86,28.700000000000003,May 2024
CA-2023-117633,2024-02-11,Standard Class,Home Office,West,Office Supplies,Labels,Labels Product 22,28.24,20.96,7.279999999999998,Feb 2024
CA-2023-191658,2024-07-27,Second Class,Consumer,West,Furniture,Bookcases,Bookcases Product 57,240.71,222.68,18.03,Jul 2024
CA-2023-194018,2024-12-28,Second Class,Corporate,West,Office Supplies,Binders,Binders Product 41,61.51,46.62,14.89,Dec 2024
CA-2023-133893,2023-04-09,Second Class,Home Office,Central,Office Supplies,Envelopes,Envelopes Product 36,109.32,82.78,26.539999999999992,Apr 2023
CA-2023-154624,2024-11-14,First Class,Corporate,West,Furniture,Chairs,Chairs Product 68,827.33,745.22,82.11000000000001,Nov 2024
CA-2023-136378,2024-12-26,Same Day,Consumer,East,Office Supplies,Envelopes,Envelopes Product 72,23.3,17.13,6.170000000000002,Dec 2024
CA-2023-174069,2024-06-30,Second Class,Corporate,South,Office Supplies,Fasteners,Fasteners Product 2,34.78,26.93,7.850000000000001,Jun 2024
CA-2023-197543,2024-09-04,Second Class,Corporate,South,Office Supplies,Art,Art Product 77,96.22,74.41,21.810000000000002,Sep 2024
CA-2023-188733,2024-04-06,Standard Class,Home Office,Central,Office Supplies,Paper,Paper Product 17,27.17,21.2,5.970000000000002,Apr 2024
CA-2023-172982,2024-10-04,Same Day,Home Office,East,Office Supplies,Envelopes,Envelopes Product 5,63.97,50.11,13.86,Oct 2024
CA-2023-113395,2023-01-05,Second Class,Corporate,East,Office Supplies,Envelopes,Envelopes Product 32,37.56,28.15,9.410000000000004,Jan 2023
CA-2023-116163,2023-08-06,Standard Class,Home Office,East,Furniture,Furnishings,Furnishings Product 66,461.91,430.13,31.78000000000003,Aug 2023
CA-2023-155114,2024-05-17,First Class,Corporate,West,Office Supplies,Binders,Binders Product 68,123.23,94.01,29.22,May 2024
CA-2023-104437,2024-02-02,Same Day,Consumer,West,Technology,Accessories,Accessories Product 12,2010.1,1387.15,622.9499999999998,Feb 2024
CA-2023-176957,2024-01-28,Same Day,Corporate,South,Technology,Accessories,Accessories Product 6,1273.5,855.63,417.87,Jan 2024
CA-2023-124226,2023-07-26,Second Class,Home Office,Central,Furniture,Bookcases,Bookcases Product 82,295.82,278.51,17.310000000000002,Jul 2023
CA-2023-174520,2023-01-15,Standard Class,Corporate,West,Technology,Accessories,Accessories Product 95,1542.66,997.36,545.3000000000001,Jan 2023
CA-2023-111138,2024-07-07,First Class,Consumer,Central,Office Supplies,Fasteners,Fasteners Product 13,123.39,90.33,33.06,Jul 2024
CA-2023-146659,2024-04-05,Standard Class,Consumer,South,Office Supplies,Labels,Labels Product 20,9.14,7.45,1.6900000000000004,Apr 2024
CA-2023-177866,2024-11-21,Second Class,Corporate,Central,Office Supplies,Envelopes,Envelopes Product 83,154.61,128.83,25.78,Nov 2024
CA-2023-155677,2024-07-28,First Class,Corporate,East,Office Supplies,Labels,Labels Product 56,102.29,79.17,23.120000000000005,Jul 2024
CA-2023-150331,2023-08-29,Second Class,Corporate,East,Office Supplies,Art,Art Product 80,25.77,21.21,4.559999999999999,Aug 2023
CA-2023-123312,2024-07-17,Standard Class,Home Office,East,Office Supplies,Paper,Paper Product 93,74.72,53.4,21.32,Jul 2024
CA-2023-142468,2023-04-06,Same Day,Home Office,West,Office Supplies,Envelopes,Envelopes Product 99,115.07,85.56,29.50999999999999,Apr 2023
CA-2023-176373,2024-04-29,Standard Class,Corporate,East,Office Supplies,Envelopes,Envelopes Product 62,62.7,50.76,11.940000000000005,Apr 2024
CA-2023-124022,2024-02-11,Second Class,Home Office,West,Office Supplies,Fasteners,Fasteners Product 13,105.42,80.08,25.340000000000003,Feb 2024
CA-2023-147076,2023-08-19,Standard Class,Consumer,East,Furniture,Tables,Tables Product 60,563.64,521.97,41.66999999999996,Aug 2023
CA-2023-189881,2024-10-16,Second Class,Corporate,West,Office Supplies,Labels,Labels Product 82,103.93,85.21,18.720000000000013,Oct 2024
CA-2023-155316,2023-06-20,Second Class,Consumer,East,Office Supplies,Paper,Paper Product 64,86.89,63.34,23.549999999999997,Jun 2023
CA-2023-103631,2024-06-24,Standard Class,Consumer,Central,Office Supplies,Paper,Paper Product 58,128.78,94.57,34.21000000000001,Jun 2024
CA-2023-128602,2023-02-05,Second Class,Consumer,West,Office Supplies,Labels,Labels Product 60,108.33,83.39,24.939999999999998,Feb 2023
CA-2023-163936,2024-06-08,First Class,Consumer,East,Office Supplies,Labels,Labels Product 72,25.96,19.27,6.690000000000001,Jun 2024
CA-2023-189570,2023-06-09,Same Day,Consumer,South,Furniture,Bookcases,Bookcases Product 21,636.98,544.28,92.70000000000005,Jun 2023
CA-2023-164027,2024-11-29,First Class,Home Office,West,Office Supplies,Fasteners,Fasteners Product 5,207.45,148.8,58.64999999999998,Nov 2024
CA-2023-123888,2023-08-31,First Class,Consumer,South,Office Supplies,Binders,Binders Product 79,8.5,6.99,1.5099999999999998,Aug 2023
CA-2023-142600,2023-03-27,Standard Class,Consumer,West,Office Supplies,Paper,Paper Product 62,36.64,29.26,7.379999999999999,Mar 2023
CA-2023-187527,2024-07-31,Second Class,Corporate,West,Technology,Accessories,Accessories Product 32,1690.67,1218.2,472.47,Jul 2024
CA-2023-158279,2024-11-12,Second Class,Home Office,East,Office Supplies,Envelopes,Envelopes Product 59,36.05,29.82,6.229999999999997,Nov 2024
CA-2023-102461,2024-07-10,Same Day,Consumer,Central,Office Supplies,Binders,Binders Product 51,87.8,63.23,24.57,Jul 2024
CA-2023-148758,2024-07-27,First Class,Consumer,East,Technology,Copiers,Copiers Product 47,2236.21,1489.38,746.8299999999999,Jul 2024
CA-2023-198605,2024-10-07,Same Day,Corporate,Central,Office Supplies,Labels,Labels Product 96,36.29,26.0,10.29,Oct 2024
CA-2023-123387,2023-01-28,Standard Class,Consumer,East,Furniture,Tables,Tables Product 29,670.48,614.89,55.59000000000003,Jan 2023
CA-2023-146486,2024-09-11,Same Day,Consumer,West,Office Supplies,Envelopes,Envelopes Product 37,102.76,82.69,20.070000000000007,Sep 2024
CA-2023-151612,2024-07-09,Second Class,Home Office,West,Office Supplies,Art,Art Product 25,43.68,33.27,10.409999999999997,Jul 2024
CA-2023-155147,2023-12-06,Standard Class,Home Office,South,Office Supplies,Binders,Binders Product 99,118.55,87.02,31.53,Dec 2023
CA-2023-134196,2023-11-27,Same Day,Corporate,West,Office Supplies,Binders,Binders Product 27,127.74,101.2,26.539999999999992,Nov 2023
CA-2023-119033,2024-10-01,Second Class,Corporate,Central,Office Supplies,Labels,Labels Product 78,73.3,56.18,17.119999999999997,Oct 2024
CA-2023-136751,2024-05-20,First Class,Home Office,West,Office Supplies,Binders,Binders Product 56,102.95,77.07,25.88000000000001,May 2024
CA-2023-118313,2023-12-14,Same Day,Corporate,West,Office Supplies,Binders,Binders Product 37,77.36,59.98,17.380000000000003,Dec 2023
CA-2023-192197,2024-04-17,Second Class,Consumer,West,Office Supplies,Fasteners,Fasteners Product 17,85.35,71.08,14.269999999999996,Apr 2024
CA-2023-148868,2023-08-19,Same Day,Corporate,West,Office Supplies,Envelopes,Envelopes Product 4,71.89,53.46,18.43,Aug 2023
CA-2023-163646,2023-07-09,Same Day,Home Office,West,Furniture,Furnishings,Furnishings Product 83,652.52,557.35,95.16999999999996,Jul 2023
CA-2023-113428,2023-08-13,First Class,Home Office,West,Furniture,Chairs,Chairs Product 94,729.68,609.44,120.2399999999999,Aug 2023
CA-2023-184730,2024-01-20,Same Day,Home Office,Central,Office Supplies,Paper,Paper Product 57,16.69,13.42,3.2700000000000014,Jan 2024
CA-2023-149811,2024-01-12,Same Day,Home Office,East,Technology,Phones,Phones Product 70,511.31,342.87,168.44,Jan 2024
CA-2023-103471,2023-10-10,Standard Class,Consumer,West,Technology,Copiers,Copiers Product 10,937.92,637.37,300.54999999999995,Oct 2023
CA-2023-197909,2024-09-24,Standard Class,Corporate,West,Office Supplies,Labels,Labels Product 51,94.21,71.52,22.689999999999998,Sep 2024
CA-2023-194788,2024-09-19,Standard Class,Consumer,West,Technology,Accessories,Accessories Product 21,1769.51,1293.82,475.69000000000005,Sep 2024
CA-2023-129309,2023-09-16,First Class,Home Office,West,Office Supplies,Labels,Labels Product 1,95.58,72.07,23.510000000000005,Sep 2023
CA-2023-107531,2023-12-25,Same Day,Consumer,Central,Office Supplies,Envelopes,Envelopes Product 24,143.61,116.59,27.02000000000001,Dec 2023
CA-2023-192573,2024-12-10,Second Class,Home Office,East,Office Supplies,Labels,Labels Product 92,20.99,17.33,3.66,Dec 2024
CA-2023-109833,2024-03-31,Standard Class,Consumer,East,Office Supplies,Binders,Binders Product 73,41.69,30.84,10.849999999999998,Mar 2024
CA-2023-115892,2024-02-15,Same Day,Corporate,West,Office Supplies,Art,Art Product 7,15.13,10.95,4.1800000000000015,Feb 2024
CA-2023-166707,2024-10-10,Same Day,Home Office,South,Furniture,Bookcases,Bookcases Product 21,76.29,66.37,9.920000000000002,Oct 2024
CA-2023-120644,2023-11-14,Second Class,Consumer,East,Furniture,Furnishings,Furnishings Product 3,1099.26,961.18,138.08000000000004,Nov 2023
CA-2023-187896,2024-11-07,Standard Class,Consumer,East,Office Supplies,Labels,Labels Product 33,113.84,88.06,25.78,Nov 2024
CA-2023-133365,2023-08-13,First Class,Consumer,West,Furniture,Furnishings,Furnishings Product 61,386.51,363.49,23.019999999999982,Aug 2023
CA-2023-144629,2023-08-22,Standard Class,Consumer,West,Office Supplies,Envelopes,Envelopes Product 70,89.4,73.67,15.730000000000004,Aug 2023
CA-2023-168673,2024-11-14,Second Class,Corporate,South,Technology,Accessories,Accessories Product 51,788.89,498.13,290.76,Nov 2024
CA-2023-130651,2024-10-25,First Class,Corporate,South,Office Supplies,Fasteners,Fasteners Product 63,44.26,32.61,11.649999999999999,Oct 2024
CA-2023-130573,2024-01-09,Same Day,Corporate,East,Office Supplies,Labels,Labels Product 85,26.14,20.65,5.490000000000002,Jan 2024
CA-2023-127624,2024-11-02,Same Day,Corporate,Central,Office Supplies,Envelopes,Envelopes Product 63,164.15,131.56,32.59,Nov 2024
CA-2023-150729,2024-08-30,Same Day,Home Office,East,Office Supplies,Fasteners,Fasteners Product 52,47.3,37.65,9.649999999999999,Aug 2024
CA-2023-194986,2024-04-16,Same Day,Corporate,East,Office Supplies,Art,Art Product 92,55.75,41.14,14.61,Apr 2024
CA-2023-121038,2023-08-21,First Class,Corporate,West,Office Supplies,Labels,Labels Product 42,88.76,65.29,23.47,Aug 2023
CA-2023-106530,2024-11-22,Standard Class,Home Office,South,Office Supplies,Fasteners,Fasteners Product 40,152.28,120.54,31.739999999999995,Nov 2024
CA-2023-133380,2023-04-23,Same Day,Home Office,West,Office Supplies,Envelopes,Envelopes Product 94,29.92,24.19,5.73,Apr 2023
