Order ID,Order Date,Ship Mode,Segment,Region,Category,Sub-Category,Product Name,Sales,Cost
CA-2023-123196,04/16/2024,Same Day,Corporate,South,Technology,Copiers,Copiers Product 86,1659.08,1042.81
CA-2023-188009,03/04/2023,Second Class,Corporate,East,Office Supplies,Paper,Paper Product 26,117.53,84.62
CA-2023-137208,05/19/2023,Second Class,Consumer,West,Technology,Copiers,Copiers Product 31,1568.61,1175.93
CA-2023-108125,05/13/2024,Same Day,Corporate,South,Office Supplies,Labels,Labels Product 70,89.93,68.36
CA-2023-127208,08/15/2024,Standard Class,Consumer,East,Office Supplies,Paper,Paper Product 75,59.99,43.66
CA-2023-104114,01/27/2024,Second Class,Corporate,Central,Technology,Phones,Phones Product 23,1847.91,1171.27
CA-2023-191736,11/05/2024,Standard Class,Home Office,West,Office Supplies,Art,Art Product 71,76.86,61.03
CA-2023-108927,02/23/2024,Standard Class,Home Office,East,Office Supplies,Art,Art Product 90,54.06,41.91
CA-2023-177576,10/16/2023,First Class,Consumer,South,Office Supplies,Fasteners,Fasteners Product 48,89.28,66.04
CA-2023-132779,01/14/2024,Standard Class,Corporate,West,Technology,Copiers,Copiers Product 79,190.58,135.9
CA-2023-159889,05/04/2024,Same Day,Home Office,West,Office Supplies,Art,Art Product 21,105.82,77.66
CA-2023-139310,08/19/2023,Standard Class,Home Office,West,Furniture,Bookcases,Bookcases Product 68,766.39,722.54
CA-2023-150115,02/10/2023,Same Day,Consumer,East,Technology,Accessories,Accessories Product 27,502.68,372.38
CA-2023-154691,01/28/2023,Second Class,Corporate,West,Technology,Copiers,Copiers Product 77,1191.11,854.83
CA-2023-144139,05/15/2023,Second Class,Home Office,West,Office Supplies,Paper,Paper Product 71,66.91,54.64
CA-2023-124611,07/20/2023,Same Day,Corporate,Central,Office Supplies,Paper,Paper Product 1,73.7,58.89
CA-2023-180758,02/02/2023,Second Class,Corporate,West,Office Supplies,Labels,Labels Product 92,90.58,65.15
CA-2023-175388,02/17/2023,Second Class,Consumer,East,Office Supplies,Paper,Paper Product 37,82.04,66.43
CA-2023-188920,05/17/2024,Second Class,Home Office,West,Office Supplies,Art,Art Product 97,114.56,85.86
CA-2023-117633,02/11/2024,Standard Class,Home Office,West,Office Supplies,Labels,Labels Product 22,28.24,20.96
CA-2023-191658,07/27/2024,Second Class,Consumer,West,Furniture,Bookcases,Bookcases Product 57,240.71,222.68
CA-2023-194018,12/28/2024,Second Class,Corporate,West,Office Supplies,Binders,Binders Product 41,61.51,46.62
CA-2023-133893,04/09/2023,Second Class,Home Office,Central,Office Supplies,Envelopes,Envelopes Product 36,109.32,82.78
CA-2023-154624,11/14/2024,First Class,Corporate,West,Furniture,Chairs,Chairs Product 68,827.33,745.22
CA-2023-136378,12/26/2024,Same Day,Consumer,East,Office Supplies,Envelopes,Envelopes Product 72,23.3,17.13
CA-2023-174069,06/30/2024,Second Class,Corporate,South,Office Supplies,Fasteners,Fasteners Product 2,34.78,26.93
CA-2023-197543,09/04/2024,Second Class,Corporate,South,Office Supplies,Art,Art Product 77,96.22,74.41
CA-2023-188733,04/06/2024,Standard Class,Home Office,Central,Office Supplies,Paper,Paper Product 17,27.17,21.2
CA-2023-172982,10/04/2024,Same Day,Home Office,East,Office Supplies,Envelopes,Envelopes Product 5,63.97,50.11
CA-2023-113395,01/05/2023,Second Class,Corporate,East,Office Supplies,Envelopes,Envelopes Product 32,37.56,28.15
CA-2023-116163,08/06/2023,Standard Class,Home Office,East,Furniture,Furnishings,Furnishings Product 66,461.91,430.13
CA-2023-155114,05/17/2024,First Class,Corporate,West,Office Supplies,Binders,Binders Product 68,123.23,94.01
CA-2023-104437,02/02/2024,Same Day,Consumer,West,Technology,Accessories,Accessories Product 12,2010.1,1387.15
CA-2023-176957,01/28/2024,Same Day,Corporate,South,Technology,Accessories,Accessories Product 6,1273.5,855.63
CA-2023-124226,07/26/2023,Second Class,Home Office,Central,Furniture,Bookcases,Bookcases Product 82,295.82,278.51
CA-2023-174520,01/15/2023,Standard Class,Corporate,West,Technology,Accessories,Accessories Product 95,1542.66,997.36
CA-2023-111138,07/07/2024,First Class,Consumer,Central,Office Supplies,Fasteners,Fasteners Product 13,123.39,90.33
CA-2023-146659,04/05/2024,Standard Class,Consumer,South,Office Supplies,Labels,Labels Product 20,9.14,7.45
CA-2023-177866,11/21/2024,Second Class,Corporate,Central,Office Supplies,Envelopes,Envelopes Product 83,154.61,128.83
CA-2023-155677,07/28/2024,First Class,Corporate,East,Office Supplies,Labels,Labels Product 56,102.29,79.17
CA-2023-150331,08/29/2023,Second Class,Corporate,East,Office Supplies,Art,Art Product 80,25.77,21.21
CA-2023-123312,07/17/2024,Standard Class,Home Office,East,Office Supplies,Paper,Paper Product 93,74.72,53.4
CA-2023-142468,04/06/2023,Same Day,Home Office,West,Office Supplies,Envelopes,Envelopes Product 99,115.07,85.56
CA-2023-176373,04/29/2024,Standard Class,Corporate,East,Office Supplies,Envelopes,Envelopes Product 62,62.7,50.76
CA-2023-124022,02/11/2024,Second Class,Home Office,West,Office Supplies,Fasteners,Fasteners Product 13,105.42,80.08
CA-2023-147076,08/19/2023,Standard Class,Consumer,East,Furniture,Tables,Tables Product 60,563.64,521.97
CA-2023-189881,10/16/2024,Second Class,Corporate,West,Office Supplies,Labels,Labels Product 82,103.93,85.21
CA-2023-155316,06/20/2023,Second Class,Consumer,East,Office Supplies,Paper,Paper Product 64,86.89,63.34
CA-2023-103631,06/24/2024,Standard Class,Consumer,Central,Office Supplies,Paper,Paper Product 58,128.78,94.57
CA-2023-128602,02/05/2023,Second Class,Consumer,West,Office Supplies,Labels,Labels Product 60,108.33,83.39
CA-2023-163936,06/08/2024,First Class,Consumer,East,Office Supplies,Labels,Labels Product 72,25.96,19.27
CA-2023-189570,06/09/2023,Same Day,Consumer,South,Furniture,Bookcases,Bookcases Product 21,636.98,544.28
CA-2023-164027,11/29/2024,First Class,Home Office,West,Office Supplies,Fasteners,Fasteners Product 5,207.45,148.8
CA-2023-123888,08/31/2023,First Class,Consumer,South,Office Supplies,Binders,Binders Product 79,8.5,6.99
CA-2023-142600,03/27/2023,Standard Class,Consumer,West,Office Supplies,Paper,Paper Product 62,36.64,29.26
CA-2023-187527,07/31/2024,Second Class,Corporate,West,Technology,Accessories,Accessories Product 32,1690.67,1218.2
CA-2023-158279,11/12/2024,Second Class,Home Office,East,Office Supplies,Envelopes,Envelopes Product 59,36.05,29.82
CA-2023-102461,07/10/2024,Same Day,Consumer,Central,Office Supplies,Binders,Binders Product 51,87.8,63.23
CA-2023-148758,07/27/2024,First Class,Consumer,East,Technology,Copiers,Copiers Product 47,2236.21,1489.38
CA-2023-198605,10/07/2024,Same Day,Corporate,Central,Office Supplies,Labels,Labels Product 96,36.29,26.0
CA-2023-123387,01/28/2023,Standard Class,Consumer,East,Furniture,Tables,Tables Product 29,670.48,614.89
CA-2023-146486,09/11/2024,Same Day,Consumer,West,Office Supplies,Envelopes,Envelopes Product 37,102.76,82.69
CA-2023-151612,07/09/2024,Second Class,Home Office,West,Office Supplies,Art,Art Product 25,43.68,33.27
CA-2023-155147,12/06/2023,Standard Class,Home Office,South,Office Supplies,Binders,Binders Product 99,118.55,87.02
CA-2023-134196,11/27/2023,Same Day,Corporate,West,Office Supplies,Binders,Binders Product 27,127.74,101.2
CA-2023-119033,10/01/2024,Second Class,Corporate,Central,Office Supplies,Labels,Labels Product 78,73.3,56.18
CA-2023-136751,05/20/2024,First Class,Home Office,West,Office Supplies,Binders,Binders Product 56,102.95,77.07
CA-2023-118313,12/14/2023,Same Day,Corporate,West,Office Supplies,Binders,Binders Product 37,77.36,59.98
CA-2023-192197,04/17/2024,Second Class,Consumer,West,Office Supplies,Fasteners,Fasteners Product 17,85.35,71.08
CA-2023-148868,08/19/2023,Same Day,Corporate,West,Office Supplies,Envelopes,Envelopes Product 4,71.89,53.46
CA-2023-163646,07/09/2023,Same Day,Home Office,West,Furniture,Furnishings,Furnishings Product 83,652.52,557.35
CA-2023-113428,08/13/2023,First Class,Home Office,West,Furniture,Chairs,Chairs Product 94,729.68,609.44
CA-2023-184730,01/20/2024,Same Day,Home Office,Central,Office Supplies,Paper,Paper Product 57,16.69,13.42
CA-2023-149811,01/12/2024,Same Day,Home Office,East,Technology,Phones,Phones Product 70,511.31,342.87
CA-2023-103471,10/10/2023,Standard Class,Consumer,West,Technology,Copiers,Copiers Product 10,937.92,637.37
CA-2023-197909,09/24/2024,Standard Class,Corporate,West,Office Supplies,Labels,Labels Product 51,94.21,71.52
CA-2023-194788,09/19/2024,Standard Class,Consumer,West,Technology,Accessories,Accessories Product 21,1769.51,1293.82
CA-2023-129309,09/16/2023,First Class,Home Office,West,Office Supplies,Labels,Labels Product 1,95.58,72.07
CA-2023-107531,12/25/2023,Same Day,Consumer,Central,Office Supplies,Envelopes,Envelopes Product 24,143.61,116.59
CA-2023-192573,12/10/2024,Second Class,Home Office,East,Office Supplies,Labels,Labels Product 92,20.99,17.33
CA-2023-109833,03/31/2024,Standard Class,Consumer,East,Office Supplies,Binders,Binders Product 73,41.69,30.84
CA-2023-115892,02/15/2024,Same Day,Corporate,West,Office Supplies,Art,Art Product 7,15.13,10.95
CA-2023-166707,10/10/2024,Same Day,Home Office,South,Furniture,Bookcases,Bookcases Product 21,76.29,66.37
CA-2023-120644,11/14/2023,Second Class,Consumer,East,Furniture,Furnishings,Furnishings Product 3,1099.26,961.18
CA-2023-187896,11/07/2024,Standard Class,Consumer,East,Office Supplies,Labels,Labels Product 33,113.84,88.06
CA-2023-133365,08/13/2023,First Class,Consumer,West,Furniture,Furnishings,Furnishings Product 61,386.51,363.49
CA-2023-144629,08/22/2023,Standard Class,Consumer,West,Office Supplies,Envelopes,Envelopes Product 70,89.4,73.67
CA-2023-168673,11/14/2024,Second Class,Corporate,South,Technology,Accessories,Accessories Product 51,788.89,498.13
CA-2023-130651,10/25/2024,First Class,Corporate,South,Office Supplies,Fasteners,Fasteners Product 63,44.26,32.61
CA-2023-130573,01/09/2024,Same Day,Corporate,East,Office Supplies,Labels,Labels Product 85,26.14,20.65
CA-2023-127624,11/02/2024,Same Day,Corporate,Central,Office Supplies,Envelopes,Envelopes Product 63,164.15,131.56
CA-2023-150729,08/30/2024,Same Day,Home Office,East,Office Supplies,Fasteners,Fasteners Product 52,47.3,37.65
CA-2023-194986,04/16/2024,Same Day,Corporate,East,Office Supplies,Art,Art Product 92,55.75,41.14
CA-2023-121038,08/21/2023,First Class,Corporate,West,Office Supplies,Labels,Labels Product 42,88.76,65.29
CA-2023-106530,11/22/2024,Standard Class,Home Office,South,Office Supplies,Fasteners,Fasteners Product 40,152.28,120.54
CA-2023-133380,04/23/2023,Same Day,Home Office,West,Office Supplies,Envelopes,Envelopes Product 94,29.92,24.19
CA-2023-163370,05/11/2024,Second Class,Home Office,South,Office Supplies,Fasteners,Fasteners Product 63,105.72,86.4
CA-2023-101283,03/17/2024,Same Day,Corporate,South,Office Supplies,Labels,Labels Product 59,90.83,68.45
CA-2023-126819,07/17/2024,Standard Class,Corporate,East,Furniture,Bookcases,Bookcases Product 5,601.29,565.15
CA-2023-195665,09/25/2023,Second Class,Home Office,Central,Technology,Copiers,Copiers Product 11,2011.67,1301.45
CA-2023-146305,05/24/2024,Second Class,Home Office,South,Technology,Copiers,Copiers Product 30,1045.61,742.97
CA-2023-195648,01/21/2024,Standard Class,Home Office,East,Furniture,Chairs,Chairs Product 41,143.2,134.71
CA-2023-176975,01/22/2024,Same Day,Corporate,Central,Office Supplies,Binders,Binders Product 11,101.28,76.14
CA-2023-187969,04/23/2023,Second Class,Home Office,Central,Technology,Machines,Machines Product 28,1321.56,987.8
CA-2023-121447,09/04/2024,First Class,Home Office,East,Office Supplies,Fasteners,Fasteners Product 67,107.47,86.3
CA-2023-171906,09/16/2024,Standard Class,Consumer,West,Office Supplies,Paper,Paper Product 14,32.41,25.48
CA-2023-129516,03/22/2023,First Class,Corporate,Central,Technology,Phones,Phones Product 6,1801.57,1172.49
CA-2023-102597,11/29/2024,Second Class,Consumer,West,Office Supplies,Art,Art Product 35,30.06,23.32
CA-2023-123383,04/23/2023,Second Class,Corporate,South,Office Supplies,Fasteners,Fasteners Product 22,60.8,50.51
CA-2023-121778,01/02/2023,Standard Class,Consumer,South,Technology,Machines,Machines Product 63,2262.73,1461.89
CA-2023-152142,10/03/2024,Same Day,Corporate,East,Office Supplies,Envelopes,Envelopes Product 53,105.27,83.79
CA-2023-177175,08/08/2023,Same Day,Consumer,Central,Office Supplies,Paper,Paper Product 53,33.65,27.98
CA-2023-132762,07/19/2024,Same Day,Corporate,Central,Office Supplies,Art,Art Product 86,98.16,74.37
CA-2023-174813,08/13/2023,Standard Class,Corporate,West,Technology,Machines,Machines Product 11,1425.31,976.65
CA-2023-179151,01/20/2024,Same Day,Consumer,West,Technology,Accessories,Accessories Product 33,1351.91,902.69
CA-2023-109168,02/07/2024,Second Class,Consumer,East,Office Supplies,Paper,Paper Product 87,121.93,91.41
CA-2023-149678,09/29/2024,Standard Class,Home Office,South,Office Supplies,Envelopes,Envelopes Product 93,118.32,91.51
CA-2023-178002,05/10/2023,Same Day,Home Office,West,Furniture,Chairs,Chairs Product 28,596.12,523.48
CA-2023-100193,02/22/2023,Same Day,Corporate,West,Office Supplies,Envelopes,Envelopes Product 1,68.29,51.33
CA-2023-126512,11/14/2024,Standard Class,Corporate,East,Office Supplies,Fasteners,Fasteners Product 8,22.03,17.61
CA-2023-168336,12/30/2024,First Class,Corporate,West,Office Supplies,Binders,Binders Product 84,184.8,145.94
CA-2023-158557,11/02/2024,Same Day,Home Office,Central,Office Supplies,Labels,Labels Product 97,115.18,84.02
CA-2023-131337,12/10/2024,First Class,Corporate,South,Office Supplies,Labels,Labels Product 9,87.05,69.99
CA-2023-135634,02/20/2024,First Class,Home Office,West,Technology,Phones,Phones Product 39,1285.98,963.89
CA-2023-159518,09/04/2023,Second Class,Consumer,West,Office Supplies,Art,Art Product 19,11.95,9.26
CA-2023-168847,03/14/2024,Standard Class,Consumer,Central,Office Supplies,Labels,Labels Product 92,96.25,72.83
CA-2023-152893,07/22/2023,Standard Class,Home Office,East,Technology,Copiers,Copiers Product 47,1701.27,1308.03
CA-2023-124995,07/03/2023,Second Class,Consumer,East,Technology,Accessories,Accessories Product 28,368.34,260.28
CA-2023-119086,05/03/2023,Standard Class,Home Office,West,Office Supplies,Paper,Paper Product 29,14.28,11.75
CA-2023-174637,02/05/2024,Second Class,Home Office,South,Office Supplies,Binders,Binders Product 39,117.94,89.36
CA-2023-199932,10/21/2023,Second Class,Home Office,West,Technology,Copiers,Copiers Product 40,1511.68,993.03
CA-2023-134624,10/07/2023,First Class,Consumer,West,Technology,Phones,Phones Product 85,959.25,690.85
CA-2023-138392,09/01/2024,Second Class,Consumer,Central,Technology,Machines,Machines Product 18,881.54,580.43
CA-2023-161049,07/17/2023,Second Class,Corporate,West,Office Supplies,Labels,Labels Product 67,39.3,31.16
CA-2023-115434,05/25/2024,Same Day,Corporate,West,Technology,Machines,Machines Product 33,1546.52,1163.09
CA-2023-168803,05/24/2023,Standard Class,Consumer,West,Office Supplies,Binders,Binders Product 20,26.82,20.85
CA-2023-144014,08/31/2024,First Class,Home Office,West,Office Supplies,Binders,Binders Product 49,88.08,66.35
CA-2023-191575,07/20/2023,Same Day,Corporate,West,Furniture,Furnishings,Furnishings Product 4,557.13,504.33
CA-2023-198746,05/04/2023,First Class,Home Office,East,Furniture,Tables,Tables Product 26,436.61,414.19
CA-2023-177362,07/06/2023,Second Class,Corporate,Central,Furniture,Tables,Tables Product 15,827.67,744.23
CA-2023-171849,11/22/2023,Same Day,Consumer,West,Office Supplies,Binders,Binders Product 6,166.07,135.76
CA-2023-120538,04/08/2024,First Class,Corporate,West,Office Supplies,Envelopes,Envelopes Product 96,69.18,56.81
CA-2023-101932,12/15/2023,Second Class,Consumer,Central,Office Supplies,Envelopes,Envelopes Product 87,190.66,147.17
CA-2023-170393,10/21/2024,Standard Class,Consumer,West,Office Supplies,Binders,Binders Product 21,112.1,83.55
CA-2023-130654,02/07/2024,Same Day,Consumer,West,Technology,Machines,Machines Product 98,1164.36,862.76
CA-2023-157169,12/12/2023,Same Day,Corporate,West,Office Supplies,Art,Art Product 19,160.27,118.99
